documentos,satellit,heart,rule,spac,grow,supress,metastasi,sythet,neuter,hazard,pair,speci,lectin,overexpress,recept,flu,h1n1,antigen,fever,exposun,immunis,delect,nonvaccin,cell,viral,safe,prolifer,dna,seroprotect,loss,learn,deep,genom,machin,featur,model,neural,state,result,show,base,network,data,predict,use,express,transcript,pathway,potenti,sequenc,impact,model,set,mutat,cluster,differenti,profil,develop
doc1,"3,511387605",0,0,0,"1,69267905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,274515732",0,0,"2,284487455",0,0,0,0,0,0,0,0,0,0,0,"0,4670983165","0,4406919891",0,0,0,0,0,"0,8893156098","1,2728314","0,903089987",0,0,0,0,0,0,0,"1,566596216",0,"0,9458471519"
doc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,7294449829",0,0,0,"0,7269987279",0,0,0,0,0,"0,391649054",0,"0,2403321553","0,6020599913",0,0,0,0,0,0,0,0,0,0,0,"0,7269987279"
doc3,0,"4,023024427",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,8122803656",0,0,0,"1,124938737",0,0,0,0,0,0,0,0,0,0,"0,3590219426",0,"0,5051499783",0,"0,3010299957",0,"0,312679343","0,6020599913",0,0,0,0,0,0,"0,903089987",0,0,0,0,0
doc4,0,0,"3,719099352","3,048864328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,8281735948",0,0,0,0,"1,187529071",0,"0,7269987279",0,"0,4406919891","0,5051499783","1,03246345","0,5882856141","1,145774341","0,3850265307","1,022881866",0,0,0,"0,903089987",0,"1,340736461","1,446804337",0,0,0,0,0
doc5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,8122803656",0,0,0,0,0,0,0,0,"0,8281735948",0,"0,7269987279",0,0,0,"0,3590219426",0,0,0,0,0,0,"0,9645362245",0,0,0,"0,903089987",0,0,0,"1,124938737",0,0,0,0
doc6,0,0,0,0,"2,400527895","3,048864328","2,848704977",0,0,0,0,0,0,"2,72185187",0,0,0,0,0,0,0,0,0,"1,060728792",0,0,0,0,0,"1,77863122",0,0,0,0,0,"0,9093809417",0,0,0,"0,5733534967",0,0,0,"0,6020599913",0,"1,070553726",0,"0,903089987",0,0,0,"1,026703443",0,0,0,0,0,"0,7269987279"
doc7,0,0,0,0,0,0,0,0,0,0,0,"1,301029996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,124938737",0,0,0,0,"0,9525569356",0,0,0,0,0,"0,4670983165",0,"0,8092805699",0,0,0,0,0,"0,8616973018",0,0,0,0,0,0,0,0,0,0,0
doc8,0,0,0,0,0,0,0,"3,048864328",0,0,0,0,0,0,0,"1,301029996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5051499783",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,7269987279"
doc9,0,0,0,0,0,0,0,0,"4,141297486","2,566596216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3010299957",0,0,0,0,0,0,0,"1,46357904",0,"0,903089987",0,0,0,0,"1,073865273"
doc10,0,0,0,0,0,0,0,0,0,0,"1,929072449","1,77815125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5606673062",0,0,0,0,0,0,"0,4406919891","0,5051499783",0,"0,4446578049",0,"0,4083171229","0,7832981079","0,8616973018",0,0,"1,174947162",0,0,0,"1,124938737",0,0,0,0
doc11,0,0,0,0,"1,301029996",0,0,0,0,0,0,"1,77815125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,301992436",0,0,0,0,"1,073865273",0,0,0,0,"0,3010299957",0,"0,2403321553",0,"1,463997869",0,0,"1,174947162",0,0,"0,903089987","1,46357904",0,0,0,"1,073865273"
doc12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,330973089","1,301029996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,6989700043",0,"0,9458471519","0,4670983165","0,4406919891",0,0,"0,3010299957",0,0,0,0,0,0,0,0,"0,7891466347",0,0,0,0,0,0
doc13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,9525569356",0,0,0,0,0,0,"0,6509555039",0,0,0,0,0,"0,6020599913",0,0,0,0,0,0,0,0,0,0,0,0
doc14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5606673062",0,0,0,0,0,"0,7269987279",0,"0,3590219426","0,4406919891",0,0,0,0,0,0,"1,532228135","1,174947162",0,0,0,0,0,0,"1,204119983",0,0,"1,164695576"
doc15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,8122803656",0,0,0,0,0,0,0,0,0,0,0,"0,6989700043",0,0,0,"0,4406919891","0,5051499783",0,"0,3010299957",0,0,"0,6020599913",0,0,0,0,0,"0,7891466347",0,0,0,0,0,0
doc16,0,0,0,0,0,0,0,0,0,0,0,1,"3,38398184",0,"2,366436865",0,0,0,0,0,0,0,0,"0,8122803656",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,903089987","1,057991947",0,0,0,0,0,0,0,0,"0,7269987279"
doc17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"1,69267905",0,0,0,0,0,0,0,"0,8122803656",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,4670983165",0,0,0,0,0,0,"0,7832981079","1,121094037",0,0,0,0,0,0,0,0,0,"1,204119983","0,9458471519"
doc18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,6989700043",0,"0,7832981079","0,3850265307",0,0,"1,174947162",0,0,"1,124938737",0,0,0,0,0,0,"0,9458471519"
doc19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3590219426","0,5733534967","0,5051499783",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doc20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,9222205459",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3590219426","0,4406919891",0,0,0,0,"0,2403321553",0,"1,121094037",0,"1,562782392",0,0,0,0,0,0,0,0,0
doc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2403321553",0,0,0,0,0,0,0,0,0,0,0,0,0
doc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,6989700043",0,0,"0,3590219426",0,0,0,"0,391649054",0,"0,2403321553",0,0,0,0,0,0,0,0,0,0,0,0,0
doc3,0,0,0,0,0,0,0,0,0,0,"1,204119983",0,0,0,0,0,0,0,0,"3,38398184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3010299957",0,"0,3549997348",0,0,0,0,0,0,0,0,0,0,0,0,0
doc4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,806179974",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2403321553",0,0,0,0,0,0,0,0,0,0,0,0,0
doc5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doc6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,048864328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3010299957",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doc7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3590219426",0,0,0,0,0,"0,2403321553",0,0,0,0,0,0,0,0,0,0,0,0,0
doc8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,4822681122",0,"0,312679343",0,0,0,0,0,0,0,0,0,0,0,0,0
doc9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doc10,0,0,0,0,0,0,0,0,0,0,"1,204119983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doc11,0,0,0,0,0,0,0,0,0,0,"1,204119983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doc12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doc13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3590219426",0,0,0,"0,3010299957",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doc14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,8122803656","2,811094669",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3590219426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doc15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doc16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,811094669","1,77863122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doc17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,400527895",0,0,0,0,0,0,0,0,0,"2,084328104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doc18,0,0,0,0,0,0,0,0,0,"1,602059991",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doc19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,048864328","3,048864328",0,0,0,"2,811094669","2,811094669","1,060728792",0,0,"2,284487455","1,802219343",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doc20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5606673062","0,6020599913","0,8982226597",0,0,0,0,0,"0,3590219426","0,4406919891","0,5051499783",0,"0,391649054",0,"0,2403321553",0,0,0,0,0,0,0,0,0,0,0,0,0
doc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,034486148","1,022881866",0,0,"0,9458471519","1,03246345",0,0,0,0,"0,5051499783",0,"0,5728871705","0,6020599913",0,0,0,0,0,0,0,0,0,0,0,0,0,0
doc3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,7294449829","0,6020599913","0,5606673062","0,9848302042",0,"0,6989700043","0,9458471519","0,7269987279","0,5303189424","0,4406919891","0,5051499783","0,9093809417",0,"0,9645362245","0,2403321553",0,0,0,0,0,0,0,0,0,0,0,0,0
doc4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5606673062","0,6020599913",0,0,0,"0,6989700043",0,0,0,"0,5733534967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doc5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5606673062","0,7832981079","0,5606673062",0,0,"0,6989700043","0,7269987279","1,073865273",0,"0,4406919891","0,5051499783","0,6989700043","0,3010299957","0,9645362245","0,312679343",0,0,0,0,0,0,0,0,0,0,0,0,0
doc6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5606673062","0,8893156098",0,0,0,0,"1,164695576",0,"0,5303189424","0,4406919891",0,"1,187529071",0,0,"0,4083171229",0,0,0,0,0,0,0,0,0,0,0,0,0
doc7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,8982226597","0,8893156098",0,"0,7569619513","0,7269987279","1,03246345","0,9458471519","0,7269987279","0,3590219426","0,4406919891","0,8092805699","0,9093809417","0,4822681122",0,"0,3549997348",0,0,0,0,0,0,0,0,0,0,0,0,0
doc8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,8281735948","0,9645362245","0,5606673062","0,7569619513","0,7269987279",0,"0,9458471519","0,7269987279",0,0,0,"1,03246345","0,4446578049","0,6020599913","0,2403321553",0,0,0,0,0,0,0,0,0,0,0,0,0
doc9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,8982226597","0,9645362245","0,5606673062","0,7569619513",0,0,"0,7269987279",0,"0,4670983165","0,5733534967","0,6572152741","0,9093809417","0,3010299957","0,8893156098","0,3549997348",0,0,0,0,0,0,0,0,0,0,0,0,0
doc10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,121334612","1,145774341","0,8982226597","0,7569619513","0,7269987279","1,426872254",0,"0,7269987279","0,3590219426","0,5733534967","0,5051499783","1,03246345","0,3010299957",0,"0,3549997348",0,0,0,0,0,0,0,0,0,0,0,0,0
doc11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,8281735948","0,7832981079",0,0,"1,164695576","0,6989700043","0,7269987279","0,7269987279","0,4670983165",0,0,"0,9093809417",0,"1,070553726","0,3850265307",0,0,0,0,0,0,0,0,0,0,0,0,0
doc12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,8982226597","0,8893156098","0,7294449829","0,7569619513",0,0,0,0,0,0,0,0,"0,4446578049","0,6020599913","0,312679343",0,0,0,0,0,0,0,0,0,0,0,0,0
doc13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,7294449829","0,6020599913","0,5606673062","0,7569619513","1,341383928","1,119791879",0,"0,7269987279",0,0,"0,5051499783",0,"0,4822681122","1,022881866",0,0,0,0,0,0,0,0,0,0,0,0,0,0
doc14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,8982226597","0,7832981079","0,9969512715","0,7569619513",0,0,"0,9458471519",0,0,0,"0,5051499783","0,9093809417","0,3010299957","0,7832981079","0,2403321553",0,0,0,0,0,0,0,0,0,0,0,0,0
doc15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,8982226597","0,9645362245",0,"0,7569619513","0,9458471519","0,9093809417",0,"0,7269987279","0,4670983165",0,"0,5051499783",0,"0,4822681122","1,070553726","0,4083171229",0,0,0,0,0,0,0,0,0,0,0,0,0
doc16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,034486148","0,9645362245","0,8982226597","0,7569619513","0,9458471519","0,6989700043","0,7269987279",0,0,0,"0,5051499783","0,6989700043","0,4446578049",0,"0,2403321553",0,0,0,0,0,0,0,0,0,0,0,0,0
doc17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,9525569356","1,022881866",0,"0,7569619513","0,7269987279",0,"0,7269987279","0,7269987279","0,3590219426",0,"0,6572152741","0,6989700043","0,4822681122",0,"0,312679343",0,0,0,0,0,0,0,0,0,0,0,0,0
doc18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,9525569356","0,8893156098","0,5606673062","0,7569619513","1,164695576",0,"0,7269987279",0,0,"0,4406919891",0,"0,6989700043","0,3010299957",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doc19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,7269987279",0,0,0,0,"0,3010299957","0,6020599913",0,0,0,0,0,0,0,0,0,0,0,0,0,0
doc20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,7294449829","0,6020599913",0,"0,7569619513",0,"0,9093809417",0,0,"0,4670983165","0,6509555039","0,5051499783",0,0,0,"0,3549997348",0,0,0,0,0,0,0,0,0,0,0,0,0
doc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,8122803656",0,0,0,"1,661670918",0,0,"0,7294449829",0,"0,7294449829","0,7569619513","0,9458471519",0,"0,7269987279",0,"0,4670983165",0,"0,5051499783",0,"0,3010299957","1,11085971",0,"0,6020599913",0,0,"1,057991947","0,903089987",0,"1,026703443",0,0,0,0,0,"0,9458471519"
doc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,624336386",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3590219426",0,0,0,0,0,"0,312679343",0,0,0,"1,694966569","1,534322799",0,"0,7891466347","0,903089987","2,000311221",0,0,0,"0,7269987279"
doc3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000224345",0,0,0,0,0,0,0,0,0,0,"1,073865273",0,0,0,0,"0,4406919891",0,0,"0,4822681122",0,"0,3549997348",0,"1,121094037",0,0,0,0,0,"1,174947162",0,0,0,0,0
doc4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,204119983",0,0,0,0,"0,7269987279",0,0,0,0,0,"0,6572152741",0,0,"0,6020599913","0,2403321553",0,0,0,0,0,0,0,0,0,"1,77863122",0,"1,204119983",0
doc5,0,0,0,0,0,0,0,0,0,0,"1,204119983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3590219426","0,4406919891","0,5051499783","0,9093809417","0,391649054",0,"0,3549997348","1,022881866",0,0,0,0,"2,338951524","1,340736461",0,0,0,0,0,0
doc6,0,0,0,0,0,0,"1,602059991",0,0,0,0,0,0,"1,602059991",0,0,0,0,0,0,0,0,0,"1,000224345",0,0,0,0,0,"1,204119983",0,0,0,0,0,0,"0,7269987279",0,0,"0,4406919891",0,0,0,0,"0,2403321553","0,7832981079",0,0,0,0,0,"1,340736461",0,0,0,0,0,"0,9458471519"
doc7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,624336386",0,0,0,"1,124938737",0,0,0,0,0,0,0,0,0,0,"0,4670983165",0,0,0,0,0,"0,312679343",0,0,"1,174947162",0,0,0,0,"0,903089987",0,0,0,0,0
doc8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3590219426",0,"0,5051499783",0,"0,511440933",0,"0,312679343","1,145774341",0,0,0,0,0,"1,403222075",0,0,0,0,0,0
doc9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,124938737",0,0,0,"0,6020599913","0,7294449829",0,"0,7269987279",0,0,0,0,"0,5733534967",0,0,"0,5352768632",0,"0,2403321553","0,9645362245","1,380490772","0,903089987",0,"1,174947162",0,"1,026703443","1,174947162",0,0,"1,77863122","1,929072449",0
doc10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,9222205459",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,7269987279","0,3590219426","0,4406919891",0,0,0,0,"0,2403321553",0,0,0,0,0,"1,46357904","0,7891466347",0,0,0,0,0,0
doc11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3590219426",0,0,0,"0,3010299957",0,0,0,0,0,0,"0,903089987",0,0,0,"1,661670918",0,0,0,0
doc12,0,0,0,0,"1,301029996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5051499783",0,"0,3010299957","0,6020599913","0,2403321553",0,0,0,0,0,0,0,0,"1,661670918",0,0,0,0
doc13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,060728792",0,"1,602059991","1,425968732",0,0,0,0,0,0,0,0,0,0,0,"0,5303189424",0,0,0,0,0,"0,2403321553","0,7832981079",0,"1,446804337","1,057991947",0,0,0,0,0,0,"1,204119983",0,0
doc14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,4406919891",0,0,"0,3010299957","0,9645362245","0,2403321553","1,070553726","0,8616973018","1,174947162","1,797496583",0,0,0,0,0,"1,204119983","1,77863122","1,204119983",0
doc15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,7294449829",0,0,0,0,0,0,"0,6509555039",0,0,0,"0,6020599913","0,312679343",0,0,0,0,"1,446804337",0,"1,026703443",0,0,0,0,0,0
doc16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,204119983",0,0,0,0,0,0,0,0,0,0,0,0,"0,3010299957",0,"0,3549997348","0,6020599913",0,0,0,0,0,0,"1,174947162",0,0,0,0,"0,9458471519"
doc17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,6383953162","0,4406919891",0,0,"0,3010299957",0,"0,3850265307","0,6020599913",0,"1,333973415",0,0,"1,124938737",0,"1,666289565",0,"1,204119983",0,0,0
doc18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5606673062",0,0,0,0,0,"0,4670983165",0,0,0,0,0,"0,2403321553",0,0,0,"1,057991947",0,0,0,0,0,0,0,0,0
doc19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,8122803656",0,0,0,0,0,0,0,0,"0,5606673062",0,0,0,0,"0,7269987279","0,3590219426",0,0,0,"0,4822681122",0,"0,2403321553",0,0,0,0,"1,174947162","1,124938737",0,0,0,0,0,0,"0,7269987279"
doc20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000224345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5303189424","0,5733534967",0,"0,6989700043","0,3010299957","0,6020599913","0,2403321553","0,9645362245","1,639887507",0,0,0,0,"1,026703443",0,0,"2,141107453","1,566596216","1,929072449",0